contribution_date,amount,contributor_name,sector_category,alignment,candidate_name,office
2022-04-06,10000.0,Medical Society of the State of New York,industry_association,neutral,Kathleen C. Hochul,governor
2022-02-01,10000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Kathleen C. Hochul,governor
2022-06-06,10000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Kathleen C. Hochul,governor
2021-08-18,10000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Kathleen C. Hochul,governor
2021-10-12,10000.0,Greater New York Hospital Association (GNYHA),industry_association,neutral,Kathleen C. Hochul,governor
2022-10-15,10000.0,New York State Society of Anesthesiologists,industry_association,neutral,Kathleen C. Hochul,governor
2024-05-22,10000.0,Empire State Assn. of Assisted Living (ESAAL),industry_association,unknown,Kathleen C. Hochul,governor
2021-06-18,10000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Michael Gianaris,assembly
2021-10-22,10000.0,Greater New York Hospital Association (GNYHA),industry_association,unknown,Kathleen C. Hochul,governor
2026-05-12,10000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Kathleen C. Hochul,governor
2025-06-30,9000.0,Molina Healthcare,health_insurer,neutral,Kathleen C. Hochul,governor
2024-08-01,9000.0,The Doctors Company New York (DocPac),other_healthcare_related,neutral,Kathleen C. Hochul,governor
2024-05-22,9000.0,Elevance,health_insurer,neutral,Kathleen C. Hochul,governor
2023-09-21,9000.0,Eli Lilly,pharma,neutral,Kathleen C. Hochul,governor
2026-03-04,9000.0,Health Care Providers PAC,industry_association,neutral,Kathleen C. Hochul,governor
2023-12-31,9000.0,United Healthcare / UnitedHealth Group (UHC/UHG),health_insurer,neutral,Antonio Delgado,governor
2025-06-30,9000.0,Molina Healthcare,health_insurer,neutral,Kathleen C. Hochul,governor
2025-12-29,9000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2024-06-27,9000.0,New York State Society of Anesthesiologists,industry_association,neutral,Kathleen C. Hochul,governor
2023-12-12,9000.0,New York State Society of Anesthesiologists,industry_association,neutral,Kathleen C. Hochul,governor
2024-01-02,8500.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Antonio Delgado,governor
2021-09-23,8500.0,Capital District Physicians' Health Plan (CDPHP),health_insurer,neutral,Kathleen C. Hochul,governor
2020-09-24,8000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Thomas F O'Mara,assembly
2024-07-11,8000.0,Greater New York Hospital Association (GNYHA),industry_association,unknown,Kathleen C. Hochul,governor
2024-12-04,8000.0,Coalition of Asian-American Independent Practice Associations,industry_association,unknown,Kathleen C. Hochul,governor
2024-01-03,8000.0,Pfizer,pharma,unknown,Kathleen C. Hochul,governor
2025-07-10,8000.0,NYU Langone Health,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2024-03-27,8000.0,Cigna,health_insurer,neutral,Kathleen C. Hochul,governor
2020-09-24,8000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Thomas F O'Mara,state_senate
2022-08-27,7500.0,"Western New York MRI, LLP",imaging_diagnostics,neutral,Kathleen C. Hochul,governor
2022-09-27,7500.0,Coalition of Asian-American Independent Practice Associations,industry_association,unknown,Gustavo Rivera,state_senate
2022-01-07,7500.0,Montefiore Health System,hospital_health_system_provider,neutral,Gustavo Rivera,state_senate
2021-10-28,7500.0,MVP Health Care,health_insurer,neutral,Kathleen C. Hochul,governor
2021-10-28,7500.0,EmblemHealth,health_insurer,neutral,Kathleen C. Hochul,governor
2022-01-14,7500.0,Montefiore Health System,hospital_health_system_provider,neutral,Andrea Stewart-Cousins,state_senate
2022-07-11,7500.0,Coalition of Asian-American Independent Practice Associations,industry_association,unknown,Michael Gianaris,assembly
2022-07-11,7500.0,Coalition of Asian-American Independent Practice Associations,industry_association,unknown,Michael Gianaris,state_senate
2022-07-06,7500.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Jessica Scarcella-Spanton,state_senate
2021-12-13,7500.0,United Healthcare / UnitedHealth Group (UHC/UHG),health_insurer,neutral,Kathleen C. Hochul,governor
2021-05-12,7000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Peter Harckham,state_senate
2020-10-13,7000.0,Planned Parenthood PAC,other_healthcare_related,unknown,Peter Harckham,state_senate
2022-01-12,7000.0,Rainbow Care Pharma Inc.,pharmacy,neutral,Kathleen C. Hochul,governor
2022-07-27,6800.0,Montefiore Health System,hospital_health_system_provider,neutral,James Skoufis,state_senate
2022-01-11,6800.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Andrew Gounardes,state_senate
2022-07-06,6000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Andrew Gounardes,state_senate
2021-05-13,6000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Todd Kaminsky,state_senate
2025-03-31,6000.0,NY Assn. of Nurse Anesthetists,industry_association,neutral,Jeremy Cooney,state_senate
2026-04-24,6000.0,"The Central Orthopedic Group, LLP",hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2024-05-22,6000.0,Elevance,health_insurer,neutral,Kathleen C. Hochul,governor
2021-10-06,6000.0,Epic Healthcare Management LLC,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2026-05-13,5252.31,Medical Society of the State of New York,industry_association,neutral,Kathleen C. Hochul,governor
2021-06-29,5000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,neutral,Thomas F O'Mara,state_senate
2022-10-24,5000.0,NY Radiological Society,industry_association,neutral,Kathleen C. Hochul,governor
2023-11-30,5000.0,"Committed Home Care, Inc.",post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2022-10-14,5000.0,Health Care Providers PAC,industry_association,neutral,Kathleen C. Hochul,governor
